value,name,price,price2,subcategory,index,tags,allergies,style,descr
APP,Lobster Miso Soup,$5.50 ,,Starter,1,,GLU,,"Lobster tail in a traditional miso soup, shimeji mushroom, seaweed, green onions"
APP,Edamame,$5.50 ,,Starter,2,,,,Soybean with sea salt
APP,Ke Bun,$10 ,,Starter,3,,GLU,,"Slow-braised pork chashu, mayo, pickles, spring mix, served with steamed white bun"
APP,Raw Tako Wasabi,$6 ,,Starter,4,,,,Chopped octopus and pickles marinated in wasabi flavoured sauce
APP,Kimchi Sashimi,$8 ,,Starter,5,,GLU,,"Salmon, tako, tuna, tomato, cucumber, avocado, sesame seeds, kimchi sauce"
APP,Seaweed Salad,$8.50 ,,Starter,6,,GLU,,"Seaweed salad, spring mix, tomato, avocado, cucmber, and sesame dressing"
APP,Alberta Beef Tataki,$11 ,,Starter,7,,GLU,,"Sliced beef, dried garlic chips, spicy daikon, green onion, spring mix, served with ponzu sauce."
APP,Yellow Tail & Ahi Tuna Carpaccio,$11 ,,Starter,8,,,,"Yellowtail and Ahi tuna, dried onion, homemade carpaccio sauce."
APP,West Coast,Daily Price,,Oyster,1,,,,
APP,East Coast,Daily Price,,Oyster,2,,,,
APP,Japanese,Daily Price,,Oyster,3,,,,
APP,Jumbo Chicken Karaage,$10 ,,Tempura/Deep Fried,1,,GLU,,Deep fried boneless marinated chicken battered in karaage flour and served with mayo
APP,Truffle Shrimp Tempura,$8 ,,Tempura/Deep Fried,2,,GLU,,"Deep fried lightly-battered shrimp, seasoned with truffle oil and lemon."
APP,Calamari Tempura,$8 ,,Tempura/Deep Fried,3,,GLU,,"Deep fried lightly-battered calamari, served with spicy mayo and lemon"
APP,Fried Shrimp Cakes,$9 ,,Tempura/Deep Fried,4,,GLU,,"Deep fried homemade shrimp cakes, spring mix, served with sweet ginger sauce"
APP,Sweet Ginger Shrimp,$9.50 ,,Tempura/Deep Fried,5,,GLU,,"Black tiger shrimp tempura served with sweet ginger sauce, green onion, sesame seed."
APP,Crispy Gyoza,$6 ,,Tempura/Deep Fried,6,,GLU,,Deep fried pork and vegetable dumplings
APP,Deep Fried Mochi,$8 ,,Tempura/Deep Fried,7,,GLU,,Deep fried sticky rice with sweet soy sauce and seaweed
APP,Crispy Spring Roll,$8 ,,Tempura/Deep Fried,8,,GLU,,"Deep fried spring rolls, spring mix, served with sweet ginger sauce"
SS,Salmon,$4.50 ,$7.00 ,Nigiri/Sashimi,1,,,,
SS,Tuna,$4.50 ,$7.00 ,Nigiri/Sashimi,2,,,,
SS,Shrimp,$4.50 ,$7.00 ,Nigiri/Sashimi,3,,,,
SS,Tobiko,$5.50 ,$8.00 ,Nigiri/Sashimi,4,,,,
SS,Special Scallop,$5.50 ,$8.00 ,Nigiri/Sashimi,5,,,,
SS,Tako,$5.50 ,$8.00 ,Nigiri/Sashimi,6,,,,
SS,Saba,$5.50 ,$8.00 ,Nigiri/Sashimi,7,,,,
SS,Wild Salmon,$6.50 ,$9.00 ,Nigiri/Sashimi,8,,,,
SS,Scallop,$6.50 ,$9.00 ,Nigiri/Sashimi,9,,,,
SS,Ahi Tuna,$7.50 ,$10.00 ,Nigiri/Sashimi,10,,,,
SS,Yellow Tail,$7.50 ,$10.00 ,Nigiri/Sashimi,11,,,,
SS,Toro,$7.50 ,$10.00 ,Nigiri/Sashimi,12,,,,
SS,Anago,$7.50 ,N/A,Nigiri/Sashimi,13,,,,
SS,Chefs Choice Sushi,$22.00 ,$34.00 ,Chefs Choice,1,,,,
SS,Chefs Choice Sashimi,$26.00 ,$38.00 ,Chefs Choice,2,,,,
SS,Mango Roll,$13 ,,Special Roll (8pc),1,,,,"Shrimp tempura, mango, avocado, tobiko, unagi sauce, mayo and mango sauce"
SS,Angus Beef Roll,$13 ,,Special Roll (8pc),2,,GLUSOY,,"Seared angus beef with red wine teriyaki sauce, yam, asparagus, sesame seeds, mayo"
SS,Spicy Crunch Roll,$13 ,,Special Roll (8pc),3,,GLUSOY,,"Calamari tempura, cucumber, tobiko, spicy crunch, spicy mayo, tobiko, sesame seeds"
SS,Signature Truffle Prawn Roll,$13 ,,Special Roll (8pc),4,,GLUSOY,,"Truffle shrimp tempura, mayo, unagi sauce, tobiko, wild salmon, avocado, green crunch"
SS,Rainbow Roll,$13 ,,Special Roll (8pc),5,,GLUSOY,,"Crab meat, avocado, cucumber, tuna, salmon, shrimp, green crunch, yellow crunch, tobiko, unagi sauce"
SS,Seared Tuna Roll,$13 ,,Special Roll (8pc),6,,GLUSOY,,"Crab meat, avocado, cucumber, seared tuna, spicy mayo, spicy miso, jalapeno"
SS,Seared Salmon Roll,$13 ,,Special Roll (8pc),7,,GLUSOY,,"Crab meat, avocado, cucumber, seared salmon, spicy mayo, spicy miso, jalapeno"
SS,Geisha Roll,$13 ,,Special Roll (8pc),8,,,,"Crab meat, avocado, cucumber, mango, shrimp on top with yuzu mayo sauce"
SS,Creamy Scallop Roll,$14 ,,Special Roll (8pc),9,,,,"Crab meat, avocado, cucumber, yuzu mayo scallop, unagi sauce"
SS,Dragon Roll,$15 ,,Special Roll (8pc),10,,,,"Shrimp tempura, mayo, tobiko, cucumber, avocado, anago (salt-water eel), unagi sauce, sesame seeds"
SS,Lobster Roll,$17 ,,Special Roll (8pc),11,,,,"Lobster tail tempura, tobiko, mayo, unagi sauce, cucumber, avocado, green crunch, spicy mayo, sesame seeds"
SS,Cucumber Maki,$4.50 ,,Maki Roll (6pc),1,,,,Cucmber wrapped in rice and seaweed
SS,Salmon Maki,$4.50 ,,Maki Roll (6pc),2,,,,Salmon wrapped in rice and seaweed
SS,Avocado Maki,$4.50 ,,Maki Roll (6pc),3,,,,Avocado wrapped in rice and seaweed
SS,Tuna Maki,$4.50 ,,Maki Roll (6pc),4,,,,Tuna wrapped in rice and seaweed
SS,Volcano Calamari Roll,$4.50 ,,Half Regular Roll (4pc),1,,,,"Spring mix, spicy tuna, calamari tempura, spicy mayo, sesame seeds"
SS,Prawn Dynamite Roll,$4.50 ,,Half Regular Roll (4pc),2,,,,"Mayo, tobiko, cucumber, avocado, shrimp tempura, sesame seeds"
SS,California Roll,$4.50 ,,Half Regular Roll (4pc),3,,,,"Cucumber, crab meat, avocado, sesame seeds"
SS,Yam Roll,$4.50 ,,Half Regular Roll (4pc),4,,,,"Mayo, yam-fries, avocado, sesame seeds"
SS,Spicy Tuna Roll,$4.50 ,,Half Regular Roll (4pc),5,,,,"Cucumber, chopped tuna mixed with spicy mayo and chili pepper, sesame seeds"
SS,Spicy Salmon Roll,$4.50 ,,Half Regular Roll (4pc),6,,,,"Cucumber, chopped salmon mixed with spicy mayo and chili pepper, sesame seeds"
SS,California Oishi Sushi,$8.00 ,,Oishi Sushi (6pc),1,,,,"Crab meat, cucumber, avocado, mayo, sesame seeds"
SS,Spicy Tuna Oishi Sushi,$8.00 ,,Oishi Sushi (6pc),2,,,,"Spicy tuna, cucumber, avocado, jalapeno, spicy mayo"
SS,Spicy Salmon Oishi Sushi,$8.00 ,,Oishi Sushi (6pc),3,,,,"Spicy salmon, cucumber, avocado, jalapeno, spicy mayo"
SS,Philadelphia Oishi Sushi,$8.50 ,,Oishi Sushi (6pc),4,,,,"wild salmon, cream cheese, cucumber, sesame seeds"
SS,Wild Salmon Oishi,$8.50 ,,Oishi Sushi (6pc),5,,,,"wild salmon, jalapeno, miso sauce"
